Job Title,Location,Date Posted,Minimum Qualifications,Preferred Qualifications,Description,Responsibilities,Apply Link
API Management Engineer,"Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree in Computer Science, Mathematics, or related technical field, or equivalent practical experience in software engineering.
5 years of experience in architecting and implementing APIs and integration technologies in distributed enterprise environments using a combination of technologies, languages, or standards like REST, SOAP, GraphQL, JSON, OpenAPI, Python, Java, JavaScript, Cassandra, Kubernetes, etc.
Experience with API Gateway/Management with Apigee or other API management solutions.","Experience in implementing API Security and Threat Modeling using SAML Assertion, OAuth 2.0, etc.
Experience in private, public, and hybrid cloud design considerations and limitations in the areas of virtualization, containerization, and container orchestration (e.g. Kubernetes), serverless, event-driven architecture, global infrastructure, distributed systems and datastores (e.g. Cassandra), load balancing, networking, and security.
Experience with PHP and Drupal scripting/development.
Experience with multi/hybrid cloud through Anthos or similar container management platforms.
Ability to facilitate development and communication of solutions to technical and business stakeholders.
Excellent communication, collaboration, consensus formation, critical thinking, and problem-solving skills.","About the job
The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are developed for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
As an Application programming interface (API) Management Engineer, you will help customers transform and evolve their business through the use of Google’s global network, web-scale data centers, software infrastructure, and the technology built in the cloud. Organizations and developers use Apigee to design, document, secure, deploy, scale, publish, monetize, analyze, and manage their APIs effectively. You will guide customers through product implementation and will serve as the customers’ primary source for expertise on all Apigee products and implementations to achieve customers’ project goals.
Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.","Responsibilities
Work with customers on their API programs and produce required design specifications.
Provide technical leadership, architectural guidance, and help customers go into production with quality technical solutions/implementations with on-premises and multi/hybrid cloud-based Apigee solutions.
Work with geographically distributed Apigee Product/Engineering and Customer Engineering teams to drive innovation and excellence in the field of API Management using Apigee.
Create and deliver best practices recommendations, tutorials, blog articles, sample code, and technical presentations, adapting to different levels of key business and technical stakeholders.
Travel up to 30% of the time depending on the region.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckZOtgkdgY4rOh0f2IfKabhTGWqtNQPVP0u9cPnNWi0IiEjsA7mFcrFpO7REBMJpT2Hg_FAonHIh_Qjd9xosJSpuS-kokZWlZuwHKcQe3mMd6BKg_Lyy2yOU0flRNWw%3D%3D_V2&loc=IN&title=API+Management+Engineer&page=65
"Digital Transformation Consultant, AI solutions, gTech Ads Customer Support","Hyderabad, Telangana, India",Not Provided,"Bachelor’s degree in Engineering, Computer Science, a related field, or equivalent practical experience.
3 years of experience in solution engineering or technical consulting.
1 year of experience in technical troubleshooting and coding in one or more programming languages.
Experience in building and deploying AI solutions in a customer service or support environment.
Experience in technical project management, stakeholder management or professional services.
Experience with Data/SQL and web technologies.","Experience working in technical product, cloud support, Quality Engineering or Site Reliability Engineering.
Experience in using Google Ads or other online advertising solutions.
Experience in technical troubleshooting or customer support with a technology organization in a customer-facing role.
Experience in problem solving to develop perspectives on customer-focused solutions.
Knowledge of customer support needs with the ability to provide technical solutions.
Excellent empathizing skills with the ability to own end to end experience and solutions.","About the job
gTech Ads is responsible for all support and media and technical services for customers big and small across our entire Ad products stack. We help our customers get the most out of our Ad and Publisher products and guide them when they need help. We provide a range of services from enabling better self help and in-product support, to providing better support through interactions, setting up accounts and implementing ad campaigns, and providing media solutions for customers business and marketing needs and providing complex technical and measurement solutions along with consultative support for our large customers. These solutions range from bespoke and customized ones for our customers to scalable support for millions of customers worldwide. Based on the evolving needs of our ads customers, we partner with Sales, Product and Engineering teams within Google to develop better solutions, tools, and services to improve our products and enhance our client experience. As a cross-functional and global team, we ensure our customers get the best return on investment with Google and we remain a trusted partner.

gTech Ads Customer Support organization is a solution-generating team that helps our advertisers and business teams to get the most out of our products.Our teams includes trusted advisors that supports customers globally.Google creates products and services that make the world a better place, and gTech’s role is to help bring them to life. Our teams of trusted advisors support customers globally. Our solutions are rooted in our technical skill, product expertise, and a thorough understanding of our customers’ complex needs. Whether the answer is a bespoke solution to solve a unique problem, or a new tool that can scale across Google, everything we do aims to ensure our customers benefit from the full potential of Google products.

To learn more about gTech, check out our video.","Responsibilities
Identify and evaluate Artificial Intelligence (AI) use cases across all customer support functions. Conduct proof-of-concept projects to validate the feasibility and impact of proposed AI solutions.
Design, develop, and implement Artificial Intelligence (AI)-powered solutions that address identified customer support tests.
Develop plans to scale successful AI solutions across the entire Ads customer support organization.
Work with partner teams to ensure seamless integration of models into existing support systems and workflows.
Identify opportunities for automation and process optimization using AI.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2Fckc58zE0EwpkoeRDc51IotN3N4W_BaIJe-RsLYoYSP6nVEjsA7mFcrJVsl3opNlPFuGm2N1yr1R_ohp61LHlFlsP_UFQjwNGCnxPjiZRwZAAGj0QAq9gPOch0dKSSZQ%3D%3D_V2&loc=IN&title=Digital+Transformation+Consultant&page=65
"ASIC Design Verification Engineer, Silicon","Bangalore, Karnataka, India",Not Provided,"Bachelor's degree in Electrical Engineering or Computer Science or equivalent practical experience.
2 years of experience in verifying digital logic at RTL using System Verilog for FPGAs and ASICs.
Experience with UVM Tesbenches or environments.","Master's degree in Electrical Engineering or Computer Science with 6 years of relevant experience or a Bachelor’s degree with 8 years of experience.
Experience with Advanced Microcontroller Bus Architecture (AMBA) (e.g., Android Play Books (APB), Advanced eXtensible Interface (AXI), App Campaigns for Engagement (ACE) or other standard protocols.
Expertise in creating/using verification components and environments in UVM methodology at IP or Subsystem level.
Experience with image processing, computer vision or machine learning IPs.
Familiarity with CPU, GPU or other computer architectures.","About the job
Be part of a diverse team that pushes boundaries, developing custom silicon solutions that power the future of Google's direct-to-consumer products. You'll contribute to the innovation behind products loved by millions worldwide. Your expertise will shape the next generation of hardware experiences, delivering unparalleled performance, efficiency, and integration.
The team designs and builds the hardware, software and networking technologies that power all of Google's services.
As a Hardware Engineer, you design and build the systems that are the heart of the world's largest and most effective computing infrastructure. You will develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. You will shape the machinery that goes into data centers affecting millions of Google users.
Google's mission is to organize the world's information and make it universally accessible and useful. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. We research, design, and develop new technologies and hardware to make computing faster, seamless, and more powerful. We aim to make people's lives better through technology.","Responsibilities
Plan the verification of digital design blocks by understanding design specifications and collaborating with design engineers to identify key verification scenarios.
Create and improve constrained-random verification environments using SystemVerilog and Universal Verification Methodology (UVM). Optionally use Stored Value Account (SVA) and formal tools for formal verification.
Perform power-aware simulations and formal verification to validate power management features like clock gating, power gating, and Dynamic Voltage and Frequency Scaling (DVFS). Develop and implement power-aware test cases, including stress and corner-case scenarios, for power integrity.
Develop and execute coverage-driven verification plans to ensure comprehensive coverage of ASIC designs. Collaborate with design engineers to resolve coverage issues and improve design quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckX7RvdESLWycrIG4Y-JrP8LUDEgg2dsZbhPqeMJ6EqWJEjsA7mFcrDqjYusWpNhcEs4HI0LoPxaqMmVg4wXvDv0JPVOdV4rU3U2BmJSLjRGyhENfZWFZYv2NhT_FdQ%3D%3D_V2&loc=IN&title=ASIC+Design+Verification+Engineer&page=65
"Software Engineer II, Mobile, Android","Bengaluru, Karnataka, India",Not Provided,"Bachelor’s degree or equivalent practical experience.
1 year of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript).
1 year of experience with data structures or algorithms.
1 year of experience with Android application development.","Master's degree or PhD in Computer Science or related technical field.
Experience developing accessible technologies.
1 year of experience with performance, large scale systems data analysis, visualization tools, or debugging.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
Google Play offers music, movies, books, apps and games for devices, powered by the cloud. It syncs across devices and on the web. As part of the Android and Mobile team, Googlers working on Google Play do everything from engineering our backend systems, to shaping product strategy, to forming great content partnerships. They make it possible for people to do things like buy an ebook or song on their Android phone, then have it instantly available on their laptop. The Google Play team enhances the Android ecosystem by giving developers and partners a premium store where they can reach millions of users.","Responsibilities
Write product or system development code.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckXAAdmDhKAgPJs6rzhhP7YnIjIIacz9YJ4X9rDdnpiLqEjsA7mFcrFe-P-QQhRRobEwsWwjSWUZt448QIeuyDb-hO3ivlAYAgWtzB7zZZaK1GlKCiq-wQeJ9A6nq3g%3D%3D_V2&loc=IN&title=Software+Engineer+II&page=65
"Software Engineer III, Data Engineering","Hyderabad, Telangana, India",Not Provided,"Bachelor’s degree or equivalent practical experience.
2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.
Experience with data structures and algorithms.
Experience in business intelligence, data analytics, data modeling, or a related field.
Experience with data processing, data warehouses, data lakes.","Master's degree or PhD in Computer Science or related technical fields.
Knowledge of Data Science and Machine Learning.
Ability to analyze ambiguous data problems, identify key requirements, and design efficient, scalable, and maintainable data solutions.
Interest in working with SQL and data processing systems.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
In this role, you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
At Corp Eng, we build world-leading business solutions that scale a more helpful Google for everyone. As Google’s IT organization, we provide end-to-end solutions for organizations across Google. With an inclusive mindset, we deliver the right tools, platforms, and experiences for all Googlers as they create more helpful products and services for everyone. In the simplest terms, we are Google for Googlers.","Responsibilities
Write product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckaeO3QYcuUbCw_MX-o8wrONLeDdgNdcYNd_CZTBDt08jEjsA7mFcrPva0SoAO8bkgqR_8kMoQezpGKVk9lE1son-OQqBCfRklIpg3NwaI5oS6NdTr4pFW1znGJXsfQ%3D%3D_V2&loc=IN&title=Software+Engineer+III&page=66
"Software Engineer, Embedded Systems, Firmware, Silicon","Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree in Computer Science, Electronics or Electrical Engineering, or equivalent practical experience.
5 years of experience in development, testing and deployment of consumer electronics/embedded systems.
Experience with embedded programming in C/C++.
Experience with embedded systems, kernel, Linux, RTOS or firmware, device driver.","Experience in performance, power analysis and optimization.
Understanding of ARM, A-core, and CPU architecture.
Knowledge of system BIOS, Linux, Kernel, and device drivers.
Knowledge of embedded systems development, RTOS concepts, device drivers, bootloaders and hardware/software integration.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
Google's mission is to organize the world's information and make it universally accessible and useful. Our Devices & Services team combines the best of Google AI, Software, and Hardware to create radically helpful experiences for users. We research, design, and develop new technologies and hardware to make our user's interaction with computing faster, seamless, and more powerful. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, the Devices & Services team is making people's lives better through technology.","Responsibilities
Design, develop, and test embedded software drivers in the context of Real-Time Operating System (RTOS), firmware or Linux for next generation of CPU.
Influence CPU architecture to support future applications.
Define CPU Software Engineer (SW) architecture in collaboration with silicon architecture, silicon implementation, silicon software, and customers to identify user experiences characteristics and how they can be mapped onto hardware.
Lead the delivery of CPU software for one of the subsystem.
Lead bug triage and optimize for power and performance.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckdRUidwA1n1NtaWwHxg4x-2jNeKE6LEfsGlBVqGrQCheEjsA7mFcrCAssrQ4KsPRbySY114nKbuvghiWsoO3EwoZB4Hsfk6yfLGfxH-OEbtPKFrYeRMnRZLO_fmnBw%3D%3D_V2&loc=IN&title=Software+Engineer&page=66
"Software Engineer II, Full Stack, Google Cloud","Bengaluru, Karnataka, India",Not Provided,"Bachelor’s degree or equivalent practical experience.
1 year of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, Javascript).
1 year of experience with data structures or algorithms.","Master's degree or PhD in Computer Science or related technical field.
Experience developing accessible technologies.
1 year of experience with full stack development, across back-end such as Java, Python, GO, or C++ codebases, and front-end experience including JavaScript or TypeScript, HTML, CSS, etc.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.","Responsibilities
Write product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckTrCgVnZTl4qGocW51-t4sWIyvnqqe-eouKLt_hNFuNzEjoA2JKlmtMUVpNIBtsW2mtBiYLpsBmtNvNfD6q-hsksPkwlrdiq3TWl0VvvudAO9FKQji7sVjs0kacO_V2&loc=IN&title=Software+Engineer+II&page=66
"Software Engineer III, Mobile, YouTube","Bengaluru, Karnataka, India",Not Provided,"Bachelor’s degree or equivalent practical experience.
2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree in an industry setting.
2 years of experience with data structures or algorithms in either an academic or industry setting.
2 years of experience with iOS application development.
Experience in Objective-C or Swift.","Master's degree or PhD in Computer Science or related technical field.
2 years of experience with performance, systems data analysis, visualization tools, or debugging.
Experience developing accessible technologies.
Experience in code and system health, diagnosis and resolution, and software test engineering.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
In this role, you will manage project priorities, deadlines, and deliverables, as well as design, develop, test, deploy, maintain, and enhance software solutions.
At YouTube, we believe that everyone deserves to have a voice, and that the world is a better place when we listen, share, and build community through our stories. We work together to give everyone the power to share their story, explore what they love, and connect with one another in the process. Working at the intersection of cutting-edge technology and boundless creativity, we move at the speed of culture with a shared goal to show people the world. We explore new ideas, solve real problems, and have fun — and we do it all together.","Responsibilities
Write product or system development code.
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.
Participate in, or lead design reviews with peers and stakeholders to decide on available technologies.
Work with partner teams to integrate media processing, effects production, fun assets, client infrastructure, and more.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckVt7uPs3J5dDqlAvUwidcyKbt0b8xjTZY1eNYeYWLUAXEjsA7mFcrMHsTca4CH_oZqXgQ65VDxgFpTrjay26G2OVtxeYSSrOd5QL2FukhdiittqmZjP1xCEQBx4xjA%3D%3D_V2&loc=IN&title=Software+Engineer+III&page=66
"Senior Software Engineer, Full Stack","Bengaluru, Karnataka, India",Not Provided,"Bachelor’s degree or equivalent practical experience.
5 years of experience with software development in one or more programming languages, and with data structures/algorithms.
3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture.
3 years of experience with full stack development, across back-end such as Java, Python, Golang, or C++ codebases, and front-end experience including JavaScript or TypeScript, HTML, CSS or equivalent.","Master's degree or PhD in Computer Science or related technical field.
1 year of experience in a technical leadership role.
Experience developing accessible technologies.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
Google Ads is helping power the open internet with the best technology that connects and creates value for people, publishers, advertisers, and Google. We’re made up of multiple teams, building Google’s Advertising products including search, display, shopping, travel and video advertising, as well as analytics. Our teams create trusted experiences between people and businesses with useful ads. We help grow businesses of all sizes from small businesses, to large brands, to YouTube creators, with effective advertiser tools that deliver measurable results. We also enable Google to engage with customers at scale.","Responsibilities
Write and test product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide on available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckV0vUYQfOM7AFAQ5tNNzbv5uisbdfdhyOYqpD7MxnbJvEjsA7mFcrNl6NqE3H-ICAQrN7rbBAunnEAzm6jgQdG2dUAlLbkjuE3kzp_WNfb38bpe5Fq1yX_TDFQ1nAA%3D%3D_V2&loc=IN&title=Senior+Software+Engineer&page=67
"Operations Strategy Lead, Global Operations Center","Hyderabad, Telangana, India",Not Provided,"Bachelor’s degree or equivalent practical experience.
10 years of experience in a project or program management, consulting, or client facing role.","Master's Degree in Business Administration or a related Advanced degree.
Experience with Google products or services with the Global Operations Center
Ability to translate insights into action, including developing compelling business cases and implementing recommendations.
Excellent organizational skills and ability to manage multiple concurrent projects.
Excellent interpersonal skills with the ability to take initiative, build relationships and lead discussions with diverse cross-functional stakeholders at all levels.","About the job
Google creates products and services that make the world a better place, and gTech’s role is to help bring them to life. Our teams of trusted advisors support customers globally. Our solutions are rooted in our technical skill, product expertise, and a thorough understanding of our customers’ complex needs. Whether the answer is a bespoke solution to solve a unique problem, or a new tool that can scale across Google, everything we do aims to ensure our customers benefit from the full potential of Google products.

To learn more about gTech, check out our video.","Responsibilities
Define, refine, and communicate the goals for various Global Operations Center (GOC) Operations verticals, ensuring alignment with GOC and Google strategies.
Act as a facilitator and relationship builder, working across teams and functions to identify improvement opportunities and solve problems.
Leverage data analysis and business intelligence tools to support business case development, performance reporting, and operational excellence initiatives.
Create presentations, reports, and communications to articulate Global Operations Center (GOC) Operation's performance and value to diverse audiences, including leadership and stakeholders.
Establish governance structures, track key metrics, and provide program management support for initiatives, ensuring efficient and effective operations.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckWhXrqqv3cAazddWbJakHg4nwSHo2Y2KqanG5aGcWQyuEjsA7mFcrIRr5VjwGuzSxOSe-rZUdPONhaXu7B9-vmE4FLSG-iUAWtvi5nfxeXNUo0VE7T-kNLEuv0pNsg%3D%3D_V2&loc=IN&title=Operations+Strategy+Lead&page=67
"Vendor Solutions Consultant, Learning Services, Google Cloud","Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree in Business, a quantitative field, or equivalent practical experience.
10 years of experience in customer-facing roles, including interfacing with executive stakeholders and managing and delivering IT technical implementations, transformation programs, or other initiatives.
8 years in Consulting, vendor or partner management, including selection, vendor operations, negotiating agreements.
3 years of experience in a leadership role.","Experience in operational or sourcing capacity for Machine Learning data operations, content review, annotations, and ratings.
Experience executing service agreements, statements of work for outsourced operations.
Experience in multi vendor operations management for scaled operations and vendor relationship management.
Ability to communicate cross-functionally to multiple teams across all levels.
Excellent problem-solving and project management skills.","About the job
The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are developed for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
This role is a heavy consulting position, focused on advising and providing solutions to our Learning and Training services business stakeholders regarding their vendor needs. In this role, you will act as a trusted advisor and solutions provider, build strong relationships with external partners globally, as well as internal Google stakeholders. You will be responsible for discussing and securing the best possible value for Google in all vendor agreements.
Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.","Responsibilities
Lead the development and execution of the vendor strategy, sourcing, selection, discussions, and agreements for managed services providers primarily focused on our Learning Services vertical.
Develop scalable cost optimal operating models, solutions and service capabilities including gig based delivery models for both time bound projects as well as ongoing operations.
Be the solutions provider and an advisor. Manage the overall relationship with the Learning and training business teams as well as engage and collaborate with cross-functional teams across Google to drive results.
Drive supplier performance around service quality and value addition through structured governance and performance measurement mechanisms.
Identify, prioritize, deliver scalable solutions and run strategic/operational initiatives across the globe to scale, transform services while measuring the business impact of those solutions in order to provide insights to leadership and inform further innovation.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckVVcy1pZAJbtDx99zBhWQ1CZ_Z_ncfvqIrQDxEGTHKbLEjsA7mFcrJoKZdBmEakJERZqVdXYJyBHes8eL7J9KBAEyl0Tcvn19FtfHu2KMqK5D4gC9F4QR0Lpf2BQhQ%3D%3D_V2&loc=IN&title=Vendor+Solutions+Consultant&page=67
"Software Engineer III, Infrastructure, Corp Eng","Hyderabad, Telangana, India",Not Provided,"Bachelor’s degree or equivalent practical experience.
2 years of experience with software development or 1 year of experience with an advanced degree in an industry setting.
2 years of experience with data structures or algorithms in either an academic or industry setting.
2 years of experience with developing large-scale infrastructure, distributed systems or networks, or experience with compute technologies, storage or hardware architecture.
Experience in one or more of the following programming languages: C, C++, Python, Go.","Master's degree or PhD in Computer Science, or in a related technical field.
2 years of experience with performance, large-scale systems data analysis, visualization tools, or debugging.
Experience developing accessible technologies.
Experience in code and system health, diagnosis and resolution, and software test engineering.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
In this role, you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
At Corp Eng, we build world-leading business solutions that scale a more helpful Google for everyone. As Google’s IT organization, we provide end-to-end solutions for organizations across Google. With an inclusive mindset, we deliver the right tools, platforms, and experiences for all Googlers as they create more helpful products and services for everyone. In the simplest terms, we are Google for Googlers.","Responsibilities
Write product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckT3vo-SPHzsoG5dqkpsMGOlMjc4HrLZ1eUL7CV_HVWBZEjsA7mFcrEq-pO2YgfEE4ERtfodcNimpWcPqYQ77JWoU0X4DKfUwxFvfGyJriSmukViydlSNKJlAE_2yNg%3D%3D_V2&loc=IN&title=Software+Engineer+III&page=67
